2017/08/16-09:00:01:UTC={"ticker":{"high":14500.00000000,"low":11150.00000000,"vol":853.41496334,"last":13312.00001000,"buy":13312.01001000,"sell":13489.89960000,"date":1502873042}}
2017/08/16-10:00:01:UTC={"ticker":{"high":14000.00000000,"low":11150.00000000,"vol":840.89178428,"last":13350.05001000,"buy":13380.00000000,"sell":13449.99000000,"date":1502877536}}
2017/08/16-11:00:01:UTC={"ticker":{"high":13981.77000000,"low":11150.00000000,"vol":769.96716780,"last":13497.99999000,"buy":13402.00101000,"sell":13497.99999000,"date":1502881153}}
2017/08/16-12:00:02:UTC={"ticker":{"high":13981.77000000,"low":11150.00000000,"vol":709.08751864,"last":13498.00000000,"buy":13410.00101000,"sell":13498.00000000,"date":1502884800}}
2017/08/16-13:00:01:UTC={"ticker":{"high":13981.77000000,"low":11150.00000000,"vol":675.48881490,"last":13639.98999000,"buy":13555.00001000,"sell":13639.97998000,"date":1502888389}}
2017/08/16-14:00:01:UTC={"ticker":{"high":13981.77000000,"low":11150.00000000,"vol":653.27184086,"last":13799.99999000,"buy":13706.00003000,"sell":13799.99999000,"date":1502891405}}
2017/08/16-15:00:02:UTC={"ticker":{"high":13981.77000000,"low":12000.00000000,"vol":515.44208446,"last":13780.05500000,"buy":13790.00100000,"sell":13899.97900000,"date":1502895473}}
2017/08/16-16:00:01:UTC={"ticker":{"high":14000.00000000,"low":12101.00000000,"vol":520.87622386,"last":13900.00012000,"buy":13998.00000000,"sell":13998.99972000,"date":1502896049}}
2017/08/16-17:00:02:UTC={"ticker":{"high":14299.00000000,"low":13100.00000000,"vol":546.54156392,"last":13936.98999000,"buy":13802.99000000,"sell":13936.97996000,"date":1502902493}}
2017/08/16-18:00:01:UTC={"ticker":{"high":14299.00000000,"low":13111.99000000,"vol":526.89282604,"last":13999.98900000,"buy":13890.00000000,"sell":13999.98898000,"date":1502905899}}
2017/08/16-19:00:01:UTC={"ticker":{"high":14299.00000000,"low":13203.00001000,"vol":526.90271968,"last":13949.99899000,"buy":13831.01001000,"sell":13949.99799000,"date":1502908618}}
2017/08/16-20:00:02:UTC={"ticker":{"high":14299.00000000,"low":13203.00001000,"vol":475.45412911,"last":14078.00550000,"buy":14000.00000000,"sell":14015.50000000,"date":1502913114}}
2017/08/16-21:00:01:UTC={"ticker":{"high":14299.00000000,"low":13203.00001000,"vol":475.34120503,"last":14010.00000000,"buy":13915.00102000,"sell":14010.00000000,"date":1502915978}}
2017/08/16-22:00:01:UTC={"ticker":{"high":14299.00000000,"low":13300.00000000,"vol":462.98950181,"last":14090.00000000,"buy":13985.34101000,"sell":14089.99999000,"date":1502919002}}
2017/08/16-23:00:01:UTC={"ticker":{"high":14299.00000000,"low":13300.00000000,"vol":413.02372549,"last":14075.99994000,"buy":14075.99994000,"sell":14076.00000000,"date":1502920796}}
2017/08/17-00:00:01:UTC={"ticker":{"high":14299.00000000,"low":13300.00000000,"vol":391.85528618,"last":14050.00000000,"buy":13971.00000000,"sell":14050.00000000,"date":1502927815}}
2017/08/17-01:00:01:UTC={"ticker":{"high":14299.00000000,"low":13300.00000000,"vol":382.05597590,"last":14040.00000000,"buy":13921.63200000,"sell":14040.00000000,"date":1502931432}}
2017/08/17-02:00:02:UTC={"ticker":{"high":14299.00000000,"low":13300.00000000,"vol":386.63652897,"last":13994.97898000,"buy":13750.05010000,"sell":13990.99999000,"date":1502934998}}
2017/08/17-03:00:02:UTC={"ticker":{"high":14299.00000000,"low":13300.00000000,"vol":383.91565319,"last":13820.00001000,"buy":13850.10000000,"sell":13997.94977000,"date":1502937728}}
2017/08/17-04:00:01:UTC={"ticker":{"high":14299.00000000,"low":13300.00001000,"vol":383.24086449,"last":14013.94876000,"buy":13872.06001000,"sell":14013.91859000,"date":1502938969}}
2017/08/17-05:00:01:UTC={"ticker":{"high":14299.00000000,"low":13312.00001000,"vol":395.07751468,"last":13899.00012000,"buy":13899.01012000,"sell":14088.99857000,"date":1502945522}}
2017/08/17-06:00:01:UTC={"ticker":{"high":14299.00000000,"low":13312.00001000,"vol":395.36690055,"last":13921.00011000,"buy":13921.00011000,"sell":14083.67972000,"date":1502946312}}
2017/08/17-07:00:02:UTC={"ticker":{"high":14299.00000000,"low":13312.00001000,"vol":395.11584138,"last":13929.00000000,"buy":13921.00000000,"sell":13929.00000000,"date":1502951818}}
2017/08/17-08:00:01:UTC={"ticker":{"high":14299.00000000,"low":13312.00001000,"vol":395.35045823,"last":13870.00000000,"buy":13870.00000000,"sell":13919.99999000,"date":1502955482}}
2017/08/17-09:00:02:UTC={"ticker":{"high":14299.00000000,"low":13320.00000000,"vol":394.96478957,"last":13920.00000000,"buy":13900.99900000,"sell":13920.00000000,"date":1502960295}}
2017/08/17-10:00:01:UTC={"ticker":{"high":14299.00000000,"low":13351.00001000,"vol":399.54403327,"last":14200.00000000,"buy":14200.00000000,"sell":14250.00000000,"date":1502963963}}
2017/08/17-11:00:01:UTC={"ticker":{"high":14299.00000000,"low":13402.00000000,"vol":409.85166494,"last":14100.00000000,"buy":14100.00000000,"sell":14179.00000000,"date":1502967482}}
2017/08/17-12:00:01:UTC={"ticker":{"high":14299.00000000,"low":13410.00101000,"vol":421.97718337,"last":14298.99000000,"buy":14290.00000000,"sell":14298.99000000,"date":1502971200}}
2017/08/17-13:00:02:UTC={"ticker":{"high":14299.00000000,"low":13541.00000000,"vol":426.27017761,"last":14260.00000000,"buy":14260.00000000,"sell":14280.00000000,"date":1502974310}}
2017/08/17-14:00:01:UTC={"ticker":{"high":14499.00000000,"low":13706.00002000,"vol":450.62233652,"last":14402.03002000,"buy":14402.03003000,"sell":14497.99898000,"date":1502978217}}
2017/08/17-15:00:01:UTC={"ticker":{"high":14499.00000000,"low":13724.00000000,"vol":450.05067878,"last":14410.00000000,"buy":14410.00000000,"sell":14490.04993000,"date":1502980314}}
2017/08/17-20:01:05:UTC=
2017/08/17-21:00:02:UTC={"ticker":{"high":14499.00000000,"low":13750.00000000,"vol":385.88858142,"last":14150.99980000,"buy":14170.00107000,"sell":14299.89900000,"date":1503000359}}
2017/08/17-22:00:01:UTC={"ticker":{"high":14499.00000000,"low":13750.00000000,"vol":389.34519490,"last":14418.00000000,"buy":14418.00000000,"sell":14448.00000000,"date":1503007000}}
2017/08/17-23:00:01:UTC={"ticker":{"high":14499.00000000,"low":13750.00000000,"vol":390.22541544,"last":14335.00000000,"buy":14331.00000000,"sell":14334.97000000,"date":1503007613}}
2017/08/18-00:00:01:UTC={"ticker":{"high":14499.00000000,"low":13750.00000000,"vol":397.29366734,"last":14399.98798000,"buy":14260.00100000,"sell":14399.97698000,"date":1503012409}}
2017/08/18-01:00:01:UTC={"ticker":{"high":14499.00000000,"low":13750.00000000,"vol":395.01188123,"last":14270.00000000,"buy":14270.00000000,"sell":14280.00000000,"date":1503014387}}
2017/08/18-02:00:01:UTC={"ticker":{"high":14499.00000000,"low":13750.00000000,"vol":389.70307354,"last":14279.90000000,"buy":14242.00000000,"sell":14279.89999000,"date":1503020833}}
2017/08/18-03:00:01:UTC={"ticker":{"high":14499.00000000,"low":13785.00000000,"vol":378.97684643,"last":14399.99999000,"buy":14215.06700000,"sell":14399.99999000,"date":1503024130}}
2017/08/18-04:00:01:UTC={"ticker":{"high":14499.00000000,"low":13785.00000000,"vol":376.64047215,"last":14300.90702000,"buy":14300.90701000,"sell":14300.90702000,"date":1503025190}}
2017/08/18-05:00:01:UTC={"ticker":{"high":14499.00000000,"low":13805.00000000,"vol":364.31759056,"last":14160.00000000,"buy":14151.00000000,"sell":14160.00000000,"date":1503029222}}
2017/08/18-06:00:01:UTC={"ticker":{"high":14499.00000000,"low":13805.00000000,"vol":361.92687824,"last":14186.00000000,"buy":14186.00000000,"sell":14289.99584000,"date":1503035308}}
2017/08/18-07:00:01:UTC={"ticker":{"high":14499.00000000,"low":13805.00000000,"vol":362.52150171,"last":14152.63800000,"buy":14152.63901000,"sell":14291.98900000,"date":1503038506}}
2017/08/18-08:00:02:UTC={"ticker":{"high":14499.00000000,"low":13805.00000000,"vol":363.26403204,"last":14297.99990000,"buy":14152.00101000,"sell":14297.87888000,"date":1503042493}}
2017/08/18-09:00:01:UTC={"ticker":{"high":14499.00000000,"low":13805.00000000,"vol":363.47142804,"last":14297.62000000,"buy":14152.47300000,"sell":14296.95659000,"date":1503042821}}
2017/08/18-10:00:02:UTC={"ticker":{"high":14499.00000000,"low":13850.00015000,"vol":363.23822393,"last":14300.00000000,"buy":14170.64901000,"sell":14300.00000000,"date":1503046324}}
2017/08/18-11:00:01:UTC={"ticker":{"high":14499.00000000,"low":14064.73000000,"vol":354.90620989,"last":14239.54100000,"buy":14239.54100000,"sell":14346.99898000,"date":1503050308}}
2017/08/18-12:00:02:UTC={"ticker":{"high":14499.00000000,"low":14085.00000000,"vol":331.32724574,"last":14266.02101000,"buy":14266.03301000,"sell":14385.00000000,"date":1503057265}}
